,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,3/8/2021,ARKF,SQUARE INC - A,SQ,852234103,1778799.0,359086154.13,9.74
1,3/8/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,883335.0,199713210.15,5.42
2,3/8/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1337587.0,166743595.42,4.52
3,3/8/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1398830.0,159102924.2,4.32
4,3/8/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1793597.0,147433673.4,4.0
5,3/8/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1277394.0,139248719.94,3.78
6,3/8/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,124104.0,133092852.72,3.61
7,3/8/2021,ARKF,SEA LTD-ADR,SE,81141R100,645895.0,133086664.75,3.61
8,3/8/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2013465.0,125821427.85,3.41
9,3/8/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,55234.0,121699705.04,3.3
10,3/8/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,474885.0,107651680.65,2.92
11,3/8/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,75278.0,103096232.12,2.8
12,3/8/2021,ARKF,YEAHKA LTD,9923,BL58D39,11061200.0,96025888.24,2.6
13,3/8/2021,ARKF,SNAP INC - A,SNAP,83304A106,1799862.0,95194701.18,2.58
14,3/8/2021,ARKF,TWILIO INC - A,TWLO,90138F102,281770.0,90332644.3,2.45
15,3/8/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2196782.0,87310884.36,2.37
16,3/8/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,14775045.0,86620627.93,2.35
17,3/8/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4139049.0,83029322.94,2.25
18,3/8/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,323097.0,82489895.07,2.24
19,3/8/2021,ARKF,Z HOLDINGS CORP,4689,6084848,13758730.0,76026110.68,2.06
20,3/8/2021,ARKF,APPLE INC,AAPL,037833100,643963.0,74931534.68,2.03
21,3/8/2021,ARKF,DOCUSIGN INC,DOCU,256163106,381718.0,73610499.12,2.0
22,3/8/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,311957.0,72083903.99,1.96
23,3/8/2021,ARKF,INTUIT INC,INTU,461202103,190596.0,70600570.32,1.92
24,3/8/2021,ARKF,AMAZON.COM INC,AMZN,023135106,23507.0,69391488.65,1.88
25,3/8/2021,ARKF,JD.COM INC-ADR,JD,47215P106,775013.0,66155109.68,1.79
26,3/8/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1283805.0,63933489.0,1.73
27,3/8/2021,ARKF,DISCOVERY LTD,DSY,6177878,5225792.0,48200325.31,1.31
28,3/8/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,270180.0,47727297.0,1.29
29,3/8/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,679439.0,43796637.94,1.19
30,3/8/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,521543.0,42344076.17,1.15
31,3/8/2021,ARKF,BASE INC,4477,BKRQ8Q2,434500.0,38658571.3,1.05
32,3/8/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,390221.0,38163613.8,1.04
33,3/8/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,809392.0,38106175.36,1.03
34,3/8/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,613480.0,37115540.0,1.01
35,3/8/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,2878400.0,35509732.22,0.96
36,3/8/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,157167.0,35285563.17,0.96
37,3/8/2021,ARKF,NVIDIA CORP,NVDA,67066G104,75550.0,35034801.5,0.95
38,3/8/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,233720.0,32159872.0,0.87
39,3/8/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,277298.0,31592561.14,0.86
40,3/8/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,1713118.0,18690117.38,0.51
41,3/8/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,133131.0,18479914.11,0.5
42,3/8/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,31650.0,16235500.5,0.44
43,3/8/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,117115.0,7846705.0,0.21
44,3/8/2021,ARKF,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,4896476.71,4896476.71,0.13
45,3/8/2021,ARKF,SPLUNK INC,SPLK,848637104,22440.0,2940313.2,0.08
46,3/8/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,17523.0,3007822.95,0.08
47,3/8/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824.0,477676.62,0.01
